channelId,title,publishedAt,channelTitle,categoryId,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,favoriteCount,commentCount
UCPX0gLduKAfgr-HJENa7CFw,5KG EM 14 DIAS - GIGA DESAFIOU RENATO CARIANI,2024-02-07T18:40:22Z,Renato Cariani,17,,pt,513222,50515,0,2083
UC3zx5AHtifL9tyd5ut_BoOg,ORAÇÃO DA MANHÃ - 09 DE FEVEREIRO 🙏 ORAÇÃO DO DIA DE HOJE,2024-02-09T07:00:11Z,Pastor Bruno Souza,29,pt,pt,22718,13893,0,10299
UC2FLKWRbH1z14OH7jKWNNsQ,VOU FAZER UM KART DE FERRO!,2024-02-07T20:00:00Z,Henry Gonçalves,24,,,27259,2472,0,219
UCsiCOcr5SZAWlJMfcw9P__w,Golden State Warriors x Brooklyn Nets | AO VIVO COM IMAGENS EM PORTUGUÊS,2024-02-06T03:16:59Z,NBA Brasil,17,,en,638875,64877,0,16
UC5UtCpmlRl32K9jKsOvQvkQ,Igreja Mundial do Poder de Deus,2024-02-08T08:03:01Z,Igreja Mundial,24,pt-BR,pt-BR,19579,1102,0,0
UCP6nJ-Elnfnpjv6HQRsv1Cw,Divertida Mente 2 | Spot Oficial Dublado,2024-02-08T18:21:59Z,Walt Disney Studios BR,1,,pt-BR,89226,4490,0,167
UCKEM87jzVqdIfAdTr0xNBfA,PODEROSA ORAÇÃO do SALMO 91 para QUEBRAR TODAS as AMARRAS 🙏🏻,2024-02-07T21:00:35Z,Pastor Antônio Júnior,22,pt-BR,pt-BR,251111,54369,0,10498
UCsiCOcr5SZAWlJMfcw9P__w,TODAS AS TROCAS DA NBA! - O Encerramento da Trade Deadline 2023/24,2024-02-08T22:02:01Z,NBA Brasil,17,,en,47807,3817,0,11
UClYUCB6tyZl50_7OcbgUHCA,Điểm nóng thế giới 9/2: Ukraine dội bom 'nổ tung' soái hạm là niềm tự hào của nước Nga,2024-02-09T09:30:10Z,VẤN ĐỀ HÔM NAY,25,vi,vi,20273,2373,0,9
UCbh6_TmFnAJLI56aAQeD3qw,Santo Rosário | Sexta-feira | 04:00 | Live Ao vivo,2024-02-09T09:24:46Z,Frei Gilson / Som do Monte - OFICIAL,10,pt,pt,163854,34112,0,156
UCvj4nmo99euZOIAnKFpIn1Q,ЧТО ОН СПЕШИТ ВАМ СООБЩИТЬ ❓️💕😜💐 расклад таро #новоетаро #раскладсегодня #ответутаросейчас,2024-02-09T10:30:17Z,ОТВЕТ У ТАРО,24,ru,ru,4554,1319,0,103
UC4LzoooXDHYU5Ocbe2WOV2A,R.I.P Them😩✨ #deku #bakugou #todoroki #mha #bnha #foryou,2024-02-08T21:47:57Z,ᴀʟᴇssɪᴀ,22,,,77929,16006,0,69
UCuUWq6qn8NFvOKFeIq3yPqQ,Voce ja sabia disso?,2024-02-08T22:05:56Z,Vander,22,,,40703,7859,0,64
UCw5-xj3AKqEizC7MvHaIPqA,Matheus Cunha brilha com hat-trick e Wolverhampton atropela o Chelsea fora de casa na Premier League,2024-02-04T16:34:32Z,ESPN Brasil,17,pt-BR,pt-BR,584473,25033,0,747
UChMJkHCD2wdvSO7CMOuLR-w,ESSA É A NOVA COR DO MEU MAVERICK 4X4 😮,2024-02-06T14:00:08Z,Renato Garcia YT,24,,pt,580467,52499,0,967
UCvcZRsZdR2lzgeZcABkwCSA,Podem cancelar o Homem-Aranha 4? #homemaranha #sony #marvel #filmes #spiderman #lançamentos,2024-02-07T21:20:37Z,Locomotiva,22,,,736657,152240,0,654
UCw5-xj3AKqEizC7MvHaIPqA,"ENZO FERNÁNDEZ FAZ PINTURA DE FALTA, CHELSEA BATE O ASTON VILLA E VAI ÀS OITAVAS | Melhores Momentos",2024-02-07T22:12:17Z,ESPN Brasil,17,pt-BR,pt-BR,486669,24780,0,954
UCw5-xj3AKqEizC7MvHaIPqA,"ENZO FERNÁNDEZ FAZ PINTURA DE FALTA, CHELSEA BATE O ASTON VILLA E VAI ÀS OITAVAS | Melhores Momentos",2024-02-07T22:12:17Z,ESPN Brasil,17,pt-BR,pt-BR,486669,24780,0,954
